concept_id,concept_code,concept_name,vocabulary_id,ingredient
40842919,OMOP2040881,Naloxone 4 MG / Tilidine 50 MG Oral Capsule [Valoron N] Box of 10,RxNorm Extension,tilidine
40842920,OMOP2040882,Naloxone 4 MG / Tilidine 50 MG Oral Capsule [Tilimerck],RxNorm Extension,tilidine
40842924,OMOP2040886,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML Oral Solution [Tiligetic],RxNorm Extension,tilidine
40842925,OMOP2040887,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML Oral Solution [Tilidin Hexal] Box of 1,RxNorm Extension,tilidine
40842926,OMOP2040888,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML Oral Solution [Tilidalor],RxNorm Extension,tilidine
40842927,OMOP2040889,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet [Tilnalox Ct],RxNorm Extension,tilidine
40842928,OMOP2040890,Naloxone 12 MG / Tilidine 150 MG Oral Tablet [Tilidin N Sandoz],RxNorm Extension,tilidine
40853375,OMOP2051337,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Tablet Box of 20 by TEVA,RxNorm Extension,tilidine
40853376,OMOP2051338,Naloxone 4 MG / Tilidine 50 MG Oral Tablet Box of 50 by TEVA,RxNorm Extension,tilidine
40859646,OMOP2057608,Naloxone 8 MG / Tilidine 100 MG [Tilnalox Ct],RxNorm Extension,tilidine
40859647,OMOP2057609,Naloxone 8 MG / Tilidine 100 MG [Tilidin N Dura],RxNorm Extension,tilidine
40859648,OMOP2057610,Naloxone 17.6 MG / Tilidine 206 MG [Tilidin N Dura],RxNorm Extension,tilidine
40859649,OMOP2057611,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML [Andolor],RxNorm Extension,tilidine
40859650,OMOP2057612,Naloxone 12 MG / Tilidine 150 MG [Tilidin 1a Pharma],RxNorm Extension,tilidine
40859651,OMOP2057613,Naloxone 12 MG / Tilidine 150 MG [Celldolor],RxNorm Extension,tilidine
40863032,OMOP2060994,Naloxone / Tilidine Oral Solution [Tilicomp Beta],RxNorm Extension,tilidine
40863033,OMOP2060995,Naloxone / Tilidine Oral Capsule [Tilimerck],RxNorm Extension,tilidine
40866209,OMOP2064171,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet Box of 50,RxNorm Extension,tilidine
40866210,OMOP2064172,Naloxone 4 MG / Tilidine 50 MG Oral Capsule Box of 50,RxNorm Extension,tilidine
